┌─────┬────────────────────────────┬─────────────┬─────────┬─────────┬──────────┬────────┬──────┬───────────┬──────────┬──────────┬──────────┬──────────┐
│ id  │ name                       │ namespace   │ version │ mode    │ pid      │ uptime │ ↺    │ status    │ cpu      │ mem      │ user     │ watching │
├─────┼────────────────────────────┼─────────────┼─────────┼─────────┼──────────┼────────┼──────┼───────────┼──────────┼──────────┼──────────┼──────────┤
│ 114 │ api-microservice           │ default     │ 1.0.0   │ fork    │ 3563263  │ 45m    │ 0    │ online    │ 0%       │ 71.2mb   │ root     │ disabled │
│ 85  │ caio-agent                 │ default     │ 1.0.0   │ fork    │ 3556269  │ 48m    │ 0    │ online    │ 0%       │ 71.3mb   │ root     │ disabled │
│ 92  │ cao-analytics              │ default     │ 1.0.0   │ fork    │ 3557221  │ 47m    │ 0    │ online    │ 0%       │ 70.6mb   │ root     │ disabled │
│ 82  │ cco-agent                  │ default     │ 1.0.0   │ fork    │ 3555956  │ 48m    │ 0    │ online    │ 0%       │ 70.4mb   │ root     │ disabled │
│ 95  │ cdivo-diversity            │ default     │ 1.0.0   │ fork    │ 3557869  │ 47m    │ 0    │ online    │ 0%       │ 70.9mb   │ root     │ disabled │
│ 83  │ cdo-agent                  │ default     │ 1.0.0   │ fork    │ 3686147  │ 0s     │ 2142 │ online    │ 56.3%    │ 65.3mb   │ root     │ disabled │
│ 98  │ cdto-digital               │ default     │ 1.0.0   │ fork    │ 3558597  │ 47m    │ 0    │ online    │ 0%       │ 70.3mb   │ root     │ disabled │
│ 94  │ cetho-ethics               │ default     │ 1.0.0   │ fork    │ 3557638  │ 47m    │ 0    │ online    │ 18.8%    │ 70.5mb   │ root     │ disabled │
│ 88  │ cgo-agent                  │ default     │ 1.0.0   │ fork    │ 3556595  │ 47m    │ 0    │ online    │ 0%       │ 71.2mb   │ root     │ disabled │
│ 129 │ character-studio           │ default     │ N/A     │ fork    │ 3686158  │ 0s     │ 3428 │ online    │ 118.8%   │ 61.5mb   │ root     │ disabled │
│ 97  │ cho-happiness              │ default     │ 1.0.0   │ fork    │ 3686171  │ 0s     │ 2077 │ online    │ 0%       │ 33.1mb   │ root     │ disabled │
│ 93  │ chro-agent                 │ default     │ 1.0.0   │ fork    │ 3557450  │ 47m    │ 0    │ online    │ 0%       │ 71.0mb   │ root     │ disabled │
│ 91  │ ciso-security              │ default     │ 1.0.0   │ fork    │ 3557008  │ 47m    │ 0    │ online    │ 0%       │ 70.2mb   │ root     │ disabled │
│ 84  │ cko-agent                  │ default     │ 1.0.0   │ fork    │ 3556148  │ 48m    │ 0    │ online    │ 0%       │ 70.9mb   │ root     │ disabled │
│ 133 │ clo-lexai                  │ default     │ 1.0.0   │ fork    │ 3637677  │ 18m    │ 0    │ online    │ 0%       │ 73.8mb   │ root     │ disabled │
│ 87  │ cmo-agent                  │ default     │ 1.0.0   │ fork    │ 3556483  │ 48m    │ 0    │ online    │ 0%       │ 70.3mb   │ root     │ disabled │
│ 128 │ content-machine            │ default     │ 1.0.0   │ fork    │ 3567277  │ 43m    │ 7    │ online    │ 0%       │ 70.5mb   │ root     │ disabled │
│ 131 │ cos-chief-of-staff         │ default     │ 1.0.0   │ fork    │ 3567476  │ 43m    │ 0    │ online    │ 0%       │ 71.2mb   │ root     │ disabled │
│ 126 │ council-engine             │ default     │ 1.0.0   │ fork    │ 3566159  │ 44m    │ 0    │ online    │ 0%       │ 71.2mb   │ root     │ disabled │
