┌─────┬────────────────────────────┬─────────────┬─────────┬─────────┬──────────┬────────┬──────┬───────────┬──────────┬──────────┬──────────┬──────────┐
│ id  │ name                       │ namespace   │ version │ mode    │ pid      │ uptime │ ↺    │ status    │ cpu      │ mem      │ user     │ watching │
│ 127 │ creatrix                   │ default     │ 1.0.0   │ fork    │ 3566394  │ 44m    │ 0    │ online    │ 0%       │ 71.4mb   │ root     │ disabled │
│ 86  │ cro-agent                  │ default     │ 1.0.0   │ fork    │ 3556361  │ 48m    │ 0    │ online    │ 0%       │ 70.9mb   │ root     │ disabled │
│ 100 │ crobo-robotics             │ default     │ 1.0.0   │ fork    │ 3559056  │ 46m    │ 0    │ online    │ 0%       │ 70.6mb   │ root     │ disabled │
│ 81  │ cso-agent-zero             │ default     │ 1.0.0   │ fork    │ 3557962  │ 47m    │ 40   │ online    │ 0%       │ 71.1mb   │ root     │ disabled │
│ 96  │ csusto-esg                 │ default     │ 1.0.0   │ fork    │ 3558691  │ 47m    │ 7    │ online    │ 0%       │ 70.5mb   │ root     │ disabled │
│ 99  │ ctro-transform             │ default     │ 1.0.0   │ fork    │ 3564307  │ 44m    │ 54   │ online    │ 6.3%     │ 71.0mb   │ root     │ disabled │
│ 118 │ cuda-scheduler             │ default     │ 1.0.0   │ fork    │ 3564464  │ 44m    │ 0    │ online    │ 0%       │ 73.8mb   │ root     │ disabled │
│ 89  │ cxo-agent                  │ default     │ 1.0.0   │ fork    │ 3563977  │ 44m    │ 84   │ online    │ 0%       │ 70.5mb   │ root     │ disabled │
│ 117 │ data-processor             │ default     │ 1.0.0   │ fork    │ 3564072  │ 44m    │ 0    │ online    │ 0%       │ 70.4mb   │ root     │ disabled │
│ 101 │ dir-ai-systems             │ default     │ 1.0.0   │ fork    │ 3559462  │ 46m    │ 1    │ online    │ 0%       │ 71.1mb   │ root     │ disabled │
│ 102 │ dir-content                │ default     │ 1.0.0   │ fork    │ 3559546  │ 46m    │ 0    │ online    │ 0%       │ 70.4mb   │ root     │ disabled │
│ 103 │ dir-infrastructure         │ default     │ 1.0.0   │ fork    │ 3559767  │ 46m    │ 0    │ online    │ 0%       │ 70.5mb   │ root     │ disabled │
│ 104 │ dir-operations             │ default     │ 1.0.0   │ fork    │ 3563608  │ 45m    │ 34   │ online    │ 0%       │ 70.7mb   │ root     │ disabled │
│ 116 │ dm-converter               │ default     │ 1.0.0   │ fork    │ 3563839  │ 44m    │ 0    │ online    │ 0%       │ 70.5mb   │ root     │ disabled │
│ 61  │ dws-backend                │ default     │ 1.0.0   │ fork    │ 3479038  │ 103m   │ 20   │ online    │ 0%       │ 74.5mb   │ root     │ disabled │
│ 74  │ empire-control-api         │ default     │ N/A     │ fork    │ 3479126  │ 103m   │ 326  │ online    │ 0%       │ 72.5mb   │ root     │ disabled │
│ 115 │ enterprise-sales-engine    │ default     │ 1.0.0   │ fork    │ 3566977  │ 43m    │ 42   │ online    │ 0%       │ 70.6mb   │ root     │ disabled │
│ 119 │ flow-parallel              │ default     │ 1.0.0   │ fork    │ 3564664  │ 44m    │ 0    │ online    │ 0%       │ 71.0mb   │ root     │ disabled │
│ 130 │ funnel-builder             │ default     │ 1.0.0   │ fork    │ 3567188  │ 43m    │ 0    │ online    │ 0%       │ 70.6mb   │ root     │ disabled │
│ 120 │ guru-router                │ default     │ 1.0.0   │ fork    │ 3564889  │ 44m    │ 0    │ online    │ 0%       │ 71.0mb   │ root     │ disabled │
│ 121 │ kush-memory                │ default     │ 1.0.0   │ fork    │ 3565106  │ 44m    │ 0    │ online    │ 0%       │ 70.6mb   │ root     │ disabled │
│ 132 │ kush-orchestrator          │ default     │ 1.0.0   │ fork    │ 3567752  │ 43m    │ 0    │ online    │ 0%       │ 70.9mb   │ root     │ disabled │
│ 112 │ mgr-agents                 │ default     │ 1.0.0   │ fork    │ 3562531  │ 45m    │ 0    │ online    │ 0%       │ 74.0mb   │ root     │ disabled │
│ 113 │ mgr-community              │ default     │ 1.0.0   │ fork    │ 3562890  │ 45m    │ 0    │ online    │ 0%       │ 70.9mb   │ root     │ disabled │
│ 110 │ mgr-deploy                 │ default     │ 1.0.0   │ fork    │ 3561871  │ 45m    │ 0    │ online    │ 0%       │ 70.8mb   │ root     │ disabled │
│ 111 │ mgr-revenue                │ default     │ 1.0.0   │ fork    │ 3562158  │ 45m    │ 0    │ online    │ 0%       │ 70.2mb   │ root     │ disabled │
│ 123 │ n8n-gateway                │ default     │ 1.0.0   │ fork    │ 3565528  │ 44m    │ 0    │ online    │ 0%       │ 70.9mb   │ root     │ disabled │
│ 124 │ notion-logger              │ default     │ 1.0.0   │ fork    │ 3565732  │ 44m    │ 0    │ online    │ 0%       │ 70.5mb   │ root     │ disabled │
│ 125 │ revenue-dashboard          │ default     │ 1.0.0   │ fork    │ 3566000  │ 44m    │ 0    │ online    │ 0%       │ 71.0mb   │ root     │ disabled │
│ 122 │ vector-brain               │ default     │ 1.0.0   │ fork    │ 3565285  │ 44m    │ 0    │ online    │ 0%       │ 70.6mb   │ root     │ disabled │
│ 105 │ vp-engineering             │ default     │ 1.0.0   │ fork    │ 3560176  │ 46m    │ 0    │ online    │ 0%       │ 71.4mb   │ root     │ disabled │
│ 108 │ vp-partnerships            │ default     │ 1.0.0   │ fork    │ 3561306  │ 45m    │ 0    │ online    │ 12.5%    │ 71.0mb   │ root     │ disabled │
│ 107 │ vp-product                 │ default     │ 1.0.0   │ fork    │ 3560922  │ 46m    │ 0    │ online    │ 0%       │ 70.9mb   │ root     │ disabled │
│ 106 │ vp-sales                   │ default     │ 1.0.0   │ fork    │ 3560528  │ 46m    │ 0    │ online    │ 0%       │ 70.4mb   │ root     │ disabled │
│ 109 │ white-label-hub            │ default     │ 1.0.0   │ fork    │ 3561659  │ 45m    │ 0    │ online    │ 6.3%     │ 70.6mb   │ root     │ disabled │
└─────┴────────────────────────────┴─────────────┴─────────┴─────────┴──────────┴────────┴──────┴───────────┴──────────┴──────────┴──────────┴──────────┘
