┌─────┬────────────────────────────┬─────────────┬─────────┬─────────┬──────────┬────────┬──────┬───────────┬──────────┬──────────┬──────────┬──────────┐
│ id  │ name                       │ namespace   │ version │ mode    │ pid      │ uptime │ ↺    │ status    │ cpu      │ mem      │ user     │ watching │
│ 130 │ funnel-builder             │ default     │ 1.0.0   │ fork    │ 3567188  │ 47m    │ 0    │ online    │ 0%       │ 70.6mb   │ root     │ disabled │
│ 120 │ guru-router                │ default     │ 1.0.0   │ fork    │ 3564889  │ 47m    │ 0    │ online    │ 10%      │ 71.0mb   │ root     │ disabled │
│ 121 │ kush-memory                │ default     │ 1.0.0   │ fork    │ 3565106  │ 47m    │ 0    │ online    │ 0%       │ 70.6mb   │ root     │ disabled │
│ 132 │ kush-orchestrator          │ default     │ 1.0.0   │ fork    │ 3567752  │ 46m    │ 0    │ online    │ 0%       │ 70.9mb   │ root     │ disabled │
│ 112 │ mgr-agents                 │ default     │ 1.0.0   │ fork    │ 3562531  │ 48m    │ 0    │ online    │ 0%       │ 74.0mb   │ root     │ disabled │
│ 113 │ mgr-community              │ default     │ 1.0.0   │ fork    │ 3562890  │ 48m    │ 0    │ online    │ 0%       │ 70.9mb   │ root     │ disabled │
│ 110 │ mgr-deploy                 │ default     │ 1.0.0   │ fork    │ 3561871  │ 48m    │ 0    │ online    │ 0%       │ 70.8mb   │ root     │ disabled │
│ 111 │ mgr-revenue                │ default     │ 1.0.0   │ fork    │ 3562158  │ 48m    │ 0    │ online    │ 0%       │ 70.2mb   │ root     │ disabled │
│ 123 │ n8n-gateway                │ default     │ 1.0.0   │ fork    │ 3565528  │ 47m    │ 0    │ online    │ 10%      │ 70.9mb   │ root     │ disabled │
│ 124 │ notion-logger              │ default     │ 1.0.0   │ fork    │ 3565732  │ 47m    │ 0    │ online    │ 0%       │ 70.5mb   │ root     │ disabled │
│ 125 │ revenue-dashboard          │ default     │ 1.0.0   │ fork    │ 3566000  │ 47m    │ 0    │ online    │ 0%       │ 71.0mb   │ root     │ disabled │
│ 122 │ vector-brain               │ default     │ 1.0.0   │ fork    │ 3565285  │ 47m    │ 0    │ online    │ 0%       │ 70.6mb   │ root     │ disabled │
│ 105 │ vp-engineering             │ default     │ 1.0.0   │ fork    │ 3560176  │ 49m    │ 0    │ online    │ 0%       │ 71.4mb   │ root     │ disabled │
│ 108 │ vp-partnerships            │ default     │ 1.0.0   │ fork    │ 3561306  │ 49m    │ 0    │ online    │ 0%       │ 71.0mb   │ root     │ disabled │
│ 107 │ vp-product                 │ default     │ 1.0.0   │ fork    │ 3560922  │ 49m    │ 0    │ online    │ 0%       │ 70.9mb   │ root     │ disabled │
│ 106 │ vp-sales                   │ default     │ 1.0.0   │ fork    │ 3560528  │ 49m    │ 0    │ online    │ 0%       │ 70.4mb   │ root     │ disabled │
│ 109 │ white-label-hub            │ default     │ 1.0.0   │ fork    │ 3561659  │ 49m    │ 0    │ online    │ 0%       │ 70.6mb   │ root     │ disabled │
└─────┴────────────────────────────┴─────────────┴─────────┴─────────┴──────────┴────────┴──────┴───────────┴──────────┴──────────┴──────────┴──────────┘
